id,profile,sha,status,route,bundle,function
week1-legend-optout,cutoff,a112290eb5df72b60c4afd6c09eb1062d50bc44e,merged-by-august-24,journal/week-1,journal/week-1/week1-legend-optout-demo,gsoc_legend_optout_demo
week2-showselected-legend,postcutoff,8f009edb9556e6acf10059d01a76d2d99a06b39c,merged-august-25,journal/week-2,journal/week-2/week2-showselected-legend-demo,gsoc_showselected_legend_demo
week10-panel-margin,cutoff,a112290eb5df72b60c4afd6c09eb1062d50bc44e,merged-by-august-24,journal/week-10,journal/week-10/week10-panel-margin-demo,gsoc_panel_margin_demo
final-multiline,cutoff,a112290eb5df72b60c4afd6c09eb1062d50bc44e,merged-by-august-24,journal/final-submission,journal/final-submission/final-multiline-demo,gsoc_multiline_demo
